playdate,gametype,headshot,playtime,title,kill,damage,distance,walking_distance,ride_distance,DBNO,assists,heal,boost,revive,kill_per_min,head_per_kill
2020-05-29 18:00:00,Squad,0,1277.94104,lukoushu123,1,100,14.98,0.76,14.21,1,0,0,4,0,0.046950522850413,0
2020-05-29 18:23:00,Squad,0,808.2890015,lukoushu123,2,91,4.99,1.43,3.56,1,0,0,1,0,0.148461750410197,0
2020-05-30 01:01:00,Squad,0,1508.11,lukoushu123,1,100,13.31,2.01,11.3,1,0,0,2,0,0.039784896327191,0
2020-05-30 01:28:00,Squad,0,1614.802979,lukoushu123,0,111,33.65,0.64,33.01,0,0,0,2,0,0,0
2020-05-30 01:58:00,Squad,0,1326.416016,lukoushu123,0,0,19.36,0.24,19.12,0,0,0,2,0,0,0
2020-05-30 02:22:00,Squad,0,778.1430054,lukoushu123,1,100,7.64,1.1,6.54,1,0,0,0,0,0.077106649527946,0
2020-05-30 02:37:00,Squad,0,1612.532959,lukoushu123,0,18,16.47,1.35,15.12,1,0,0,8,0,0,0
2020-05-30 03:07:00,Squad,0,1915.001953,lukoushu123,1,289,21.63,1.12,20.51,1,1,0,6,1,0.031331560736012,0
2020-05-31 02:11:00,Squad,0,1644.156982,lukoushu123,0,36,5.69,2.67,3.01,0,0,0,7,1,0,0
2020-05-31 02:42:00,Squad,0,263.7139893,lukoushu123,0,0,0.7,0.15,0.56,0,0,0,0,0,0,0
2020-05-31 02:48:00,Squad,1,957.7490234,lukoushu123,3,466,2.34,1.52,0.83,5,0,1,1,1,0.187940677152561,0.333333333333333
2020-05-31 03:05:00,Squad,0,1069.457031,lukoushu123,0,0,10.92,1.04,9.88,0,0,0,2,0,0,0
2020-05-31 03:22:00,Squad,0,1304.692993,lukoushu123,0,0,19.22,0.6,18.63,0,0,0,4,0,0,0
2020-05-31 03:46:00,Squad,0,1562.844971,lukoushu123,1,112,12.92,2.95,9.97,3,0,0,8,0,0.038391523864078,0
2020-06-01 16:14:00,Squad,0,1051.612061,lukoushu123,0,0,9.09,1.2,7.88,0,0,0,1,0,0,0
2020-06-01 16:36:00,Squad,0,1106.467041,lukoushu123,0,0,10.96,1.12,9.84,0,0,0,4,0,0,0
2020-06-01 18:18:00,Squad,0,1838.734009,Z-YiQiu,3,527,6.91,3.19,3.72,1,1,0,12,1,0.09789344142163,0
2020-06-01 18:51:00,Squad,0,634.9949951,Z-YiQiu,0,70,2.63,1.87,0.76,0,0,0,0,0,0,0
2020-06-01 19:04:00,Squad,0,778.9489746,Z-YiQiu,2,385,0.95,0.95,0,4,0,0,3,0,0.154053736397331,0
